{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.909722, tr: 0:00:00.002001, image save only}
{X: 192, Y: 144, PayloadSize: 60, Method: None, Experiment: udp_res144p_payload_60_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:04.252123, tr: 0:00:00.001998, MSE: 20898.258897569445, SSIM: 0.3588758129730862}
{X: 192, Y: 144, PayloadSize: 65, Method: None, Experiment: udp_res144p_payload_65_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.885900, tr: 0:00:00.002001, MSE: 23771.59353298611, SSIM: 0.35195983415995846}
{X: 192, Y: 144, PayloadSize: 70, Method: None, Experiment: udp_res144p_payload_70_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.708352, tr: 0:00:00.002000, MSE: 12356.817925347223, SSIM: 0.3487026235849555}
{X: 192, Y: 144, PayloadSize: 75, Method: None, Experiment: udp_res144p_payload_75_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.370661, tr: 0:00:00.004003, MSE: 34018.65679253472, SSIM: 0.27544596462656545}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_payload_80_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.169178, tr: 0:00:00.001998, MSE: 33000.28537326389, SSIM: 0.21950331842630824}
{X: 192, Y: 144, PayloadSize: 85, Method: None, Experiment: udp_res144p_payload_85_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.583019, tr: 0:00:00.003004, MSE: 21746.767144097223, SSIM: 0.11422116303171344}
{X: 192, Y: 144, PayloadSize: 90, Method: None, Experiment: udp_res144p_payload_90_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:02.967308, tr: 0:00:00.002999, MSE: 17039.51736111111, SSIM: 0.12850674930161302}
{X: 192, Y: 144, PayloadSize: 95, Method: None, Experiment: udp_res144p_payload_95_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:02.996727, tr: 0:00:00.003000, MSE: 26397.818467881945, SSIM: 0.11065459880824553}
{X: 192, Y: 144, PayloadSize: 100, Method: None, Experiment: udp_res144p_payload_100_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.018365, tr: 0:00:00.002003, MSE: 16284.123589409723, SSIM: 0.1255566750341664}
{X: 192, Y: 144, PayloadSize: 105, Method: None, Experiment: udp_res144p_payload_105_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:02.720217, tr: 0:00:00.004000, MSE: 28149.82638888889, SSIM: 0.036092459760197655}
{X: 192, Y: 144, PayloadSize: 110, Method: None, Experiment: udp_res144p_payload_110_sleep_0.012, transmission: udp, seq_bytes: 1, t: 0:00:02.328414, tr: 0:00:00.003001, MSE: 18273.197157118055, SSIM: 0.13586305970700635}
{X: 192, Y: 144, PayloadSize: 115, Method: None, Experiment: udp_res144p_payload_115_sleep_0.012, transmission: udp, seq_bytes: 1, t: 0:00:02.994858, tr: 0:00:00.001999, MSE: 21681.400716145832, SSIM: 0.11550189002977977}
{X: 192, Y: 144, PayloadSize: 120, Method: None, Experiment: udp_res144p_payload_120_sleep_0.012, transmission: udp, seq_bytes: 1, t: 0:00:03.246735, tr: 0:00:00.001998, MSE: 23227.707899305555, SSIM: 0.11353766605397844}
{X: 192, Y: 144, PayloadSize: 125, Method: None, Experiment: udp_res144p_payload_125_sleep_0.012, transmission: udp, seq_bytes: 1, t: 0:00:02.882596, tr: 0:00:00.001999, MSE: 26233.22732204861, SSIM: 0.07290400576426345}
{X: 192, Y: 144, PayloadSize: 130, Method: None, Experiment: udp_res144p_payload_130_sleep_0.012, transmission: udp, seq_bytes: 1, t: 0:00:02.991389, tr: 0:00:00.004015, MSE: 25398.862738715277, SSIM: 0.06838820427964033}
